v.计划;n.计划/方案,plan
计划做某事,plan to do sth.
做计划,make plans
v.成群(组);n.群(组),group
一组/一群,a group of
成群结队,in groups
v.输掉/丢失/失去/减少,lose
减肥,lose weight
n.工作者,worker
v.开启;启动,begin
开始做某事,begin to do sth.
n.餐/一顿饭,meal
正餐,main meal
n.研究人员,researcher
